id;title;description;before_image_url;after_image_url;model_3d_url;display_order;is_active;created_at
46c69ffc-370e-42a9-9801-ab194ce8cc83;Круглый кулон;Серебро, подвеска;;https://v3b.fal.media/files/b/0a84d173/2enggrT5PNrlDp8g7oiyP_b58fdf14c369496889273bf3f04f0d2c.png;;2;true;2025-12-03 15:48:23.306873+00
3eec2d93-bad1-4d57-9d23-e5d5365091e4;Новый пример;;;;;3;false;2025-12-03 15:49:08.414466+00
b8486ae4-d71b-4dca-9e2d-b5001d481235;Ворон;;https://dbgatvbzeptuonyhngyw.supabase.co/storage/v1/object/public/pendant-images/examples/b8486ae4-d71b-4dca-9e2d-b5001d481235/before_image_url.jpg;https://dbgatvbzeptuonyhngyw.supabase.co/storage/v1/object/public/pendant-images/examples/b8486ae4-d71b-4dca-9e2d-b5001d481235/after_image_url.png;;4;true;2025-12-03 15:56:32.472557+00
81c7e719-c37a-4e39-be19-d4e71d02bfe1;Новый пример;Шаманский медведь с моей картинки;https://dbgatvbzeptuonyhngyw.supabase.co/storage/v1/object/public/pendant-images/examples/81c7e719-c37a-4e39-be19-d4e71d02bfe1/before_image_url.jpg;https://dbgatvbzeptuonyhngyw.supabase.co/storage/v1/object/public/pendant-images/examples/81c7e719-c37a-4e39-be19-d4e71d02bfe1/after_image_url.png;https://dbgatvbzeptuonyhngyw.supabase.co/storage/v1/object/public/pendant-images/examples/81c7e719-c37a-4e39-be19-d4e71d02bfe1/model_3d_url.glb;1;true;2025-12-03 15:48:19.783044+00
